"family","setting","frame","outcome","rmse","rmse_mcse","mean_bias","mean_absolute_bias","n","n_total"
"weak_factor","NN=200;a=1","outcome","ife",0.1772835211159,0.0079715887784187,0.00585517446623241,0.148345791090424,200,200
"weak_factor","NN=200;a=1","outcome","MCPanel",1.7829932998847,0.0115162062206623,1.7755590122912,1.7755590122912,200,200
"weak_factor","NN=200;a=1","outcome","VAR",0.911374771995404,0.0173400625604381,-0.880695695172782,0.880695695172782,200,200
"weak_factor","NN=200;a=1","u-balance","fe",2.1644705561854,0.0136290727081684,2.15601346112935,2.15601346112935,200,200
"weak_factor","NN=200;a=1","u-balance","gsynth",2.1644705561854,0.0136290727081684,2.15601346112935,2.15601346112935,200,200
"weak_factor","NN=200;a=1","u-balance","ife",2.1644705561854,0.0136290727081684,2.15601346112935,2.15601346112935,200,200
"weak_factor","NN=200;a=1","u-balance","MCPanel",2.1644705561854,0.0136290727081684,2.15601346112935,2.15601346112935,200,200
"weak_factor","NN=200;a=1","u-balance","VAR",2.1644705561854,0.0136290727081684,2.15601346112935,2.15601346112935,200,200
"mixed_factor","NN=200;a=0","aug-d-balance","fe",0.0863295183458979,0.00423888751113803,0.00722712471123105,0.0696665210763928,200,200
"mixed_factor","NN=200;a=0","aug-d-balance","gsynth",0.0745521744227029,0.00388316247413902,0.0101940590394714,0.0590791482044216,200,200
"mixed_factor","NN=200;a=0","aug-d-balance","ife",0.0741082356624445,0.00386782748700734,0.010325901765001,0.0587306696684392,200,200
"mixed_factor","NN=200;a=0","aug-d-balance","MCPanel",0.0890344430822203,0.00464243299970302,0.00636299524353876,0.0712306012385514,200,200
"mixed_factor","NN=200;a=0","aug-d-balance","VAR",0.203267846178669,0.00848663581065818,0.00357505621499536,0.167591739823616,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (individual)","fe",0.0857504431799337,0.00406901876311982,0.00425482246023313,0.0682216958952575,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (individual)","gsynth",0.0709553559513511,0.00345828600882012,0.0080562593675618,0.0549521312989454,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (individual)","ife",0.0705427510753175,0.00343714676414541,0.00816704190122738,0.0546734191878148,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (individual)","MCPanel",0.0863849046812577,0.00426752207343289,0.00419715503688844,0.0685070570415748,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (individual)","VAR",0.199143893464158,0.00817018080349393,0.00149931481563441,0.165603291746565,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual individual)","fe",0.0857198610725202,0.00406772916262849,0.00426130220777054,0.0681937998086975,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual individual)","gsynth",0.0564266928929833,0.00244101846194522,0.00818689232264951,0.0467281180549531,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual individual)","ife",0.0561295742277535,0.00243529680698238,0.00835852865070819,0.0464585131576734,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual individual)","MCPanel",0.123891425448524,0.00656914152881131,-0.000170231543305254,0.100054536873447,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual individual)","VAR",0.227593522222428,0.00990324800920243,0.00180597591341562,0.188121997818794,200,200
"mixed_factor","NN=200;a=0","aug-d-balance (residual)","fe",0.0862548143797351,0.00423578539325434,0.00723740951261982,0.0696085092015568,200,200
