"model","unit","period","counterfactual"
"gsynth",2,7,-0.747327042101761
"gsynth",2,8,-1.07151536898502
"gsynth",2,9,-1.53266422256181
"gsynth",3,0,-0.98346872935857
"gsynth",3,1,-1.27121756235974
"gsynth",3,2,-1.17127220292017
"gsynth",3,3,-0.787196506744837
"gsynth",3,4,-0.389261865267587
"gsynth",3,5,-0.284526873907704
"gsynth",3,6,-0.166819213949853
"gsynth",3,7,-0.286584150475729
"gsynth",3,8,-0.440852167837485
"gsynth",3,9,-0.680420592342375
"gsynth",4,0,-0.166628339604026
"gsynth",4,1,-0.0366111954008175
"gsynth",4,2,0.0768352592512435
"gsynth",4,3,0.112386509394171
"gsynth",4,4,-0.0233770404147996
"gsynth",4,5,-0.281358538126991
"gsynth",4,6,-0.415648440194025
"gsynth",4,7,-0.385324902231063
"gsynth",4,8,-0.178498508989655
"gsynth",4,9,0.132102580691671
"gsynth",5,0,0.47482929015016
"gsynth",5,1,0.905385736414194
"gsynth",5,2,1.03011633605479
"gsynth",5,3,0.825532465070475
"gsynth",5,4,0.326184189226438
"gsynth",5,5,-0.171816482716319
"gsynth",5,6,-0.465706515321981
"gsynth",5,7,-0.316516361659451
"gsynth",5,8,0.145847472524226
"gsynth",5,9,0.839490169320134
"gsynth",6,0,0.690512027885502
"gsynth",6,1,1.16205860346449
"gsynth",6,2,1.30362232890195
"gsynth",6,3,1.1693701750204
"gsynth",6,4,0.818538058800771
"gsynth",6,5,0.491375407017598
"gsynth",6,6,0.386768397344188
"gsynth",6,7,0.658187677759578
"gsynth",6,8,1.11421225382152
"gsynth",6,9,1.73602933551191
"gsynth",7,0,0.407411487565845
"gsynth",7,1,0.546713820435981
"gsynth",7,2,0.699612979527613
"gsynth",7,3,0.991309774562341
"gsynth",7,4,1.35082972483385
"gsynth",7,5,1.60593230366855
"gsynth",7,6,2.00632768489647
"gsynth",7,7,2.31138899579144
"gsynth",7,8,2.42079108186251
"gsynth",7,9,2.42600784523822
"gsynth",8,0,0.164071068391995
"gsynth",8,1,0.158236312594749
"gsynth",8,2,0.333084617534682
"gsynth",8,3,0.925416070188223
"gsynth",8,4,1.81541297223203
"gsynth",8,5,2.55111723848441
"gsynth",8,6,3.40667236734972
"gsynth",8,7,3.84425394883429
"gsynth",8,8,3.75645883753405
"gsynth",8,9,3.35443531257852
"gsynth",9,0,0.401864241837409
"gsynth",9,1,0.580835149202581
"gsynth",9,2,0.779953579747785
"gsynth",9,3,1.34143738091709
"gsynth",9,4,2.23235474705189
"gsynth",9,5,3.05115901972288
"gsynth",9,6,4.04773761604852
"gsynth",9,7,4.67855099999221
"gsynth",9,8,4.70121070611946
"gsynth",9,9,4.39412996799328
"gsynth",10,0,1.10289925072422
"gsynth",10,1,1.75038770051528
"gsynth",10,2,1.97257408431972
"gsynth",10,3,2.19662014312345
"gsynth",10,4,2.59167876374738
"gsynth",10,5,3.10921186904866
"gsynth",10,6,3.93256381358238
"gsynth",10,7,4.78664596773238
"gsynth",10,8,5.19291799099116
"gsynth",10,9,5.43854049895779
"gsynth",11,0,1.92281757718668
"gsynth",11,1,2.78377942453702
"gsynth",11,2,3.00403185424541
"gsynth",11,3,2.99045199907405
"gsynth",11,4,2.99838502377262
"gsynth",11,5,3.21300364005703
"gsynth",11,6,3.78569905729662
"gsynth",11,7,4.65524621886038
"gsynth",11,8,5.26982270086969
"gsynth",11,9,5.86822870215406
"VAR",0,0,0
"VAR",0,1,-1.3161009593825
"VAR",0,2,-1.36019766785547
"VAR",0,3,-1.34468888674785
"VAR",0,4,-1.50447736375065
"VAR",0,5,-2.04787532428082
"VAR",0,6,-2.74378264902127
"VAR",0,7,-3.57408844234054
"VAR",0,8,-3.78350826394492
"VAR",0,9,-3.59086029896205
"VAR",1,0,0
"VAR",1,1,-1.46685971866637
"VAR",1,2,-1.91877347272651
"VAR",1,3,-1.78845502329177
"VAR",1,4,-1.42506714871867
"VAR",1,5,-1.46159975215182
"VAR",1,6,-1.53730216891608
"VAR",1,7,-1.84229285028255
"VAR",1,8,-2.08712034910385
"VAR",1,9,-2.20046100026744
"VAR",2,0,0
"VAR",2,1,-1.50819469894883
"VAR",2,2,-1.99396954497864
"VAR",2,3,-1.83061306992057
"VAR",2,4,-1.42936826717028
"VAR",2,5,-0.860696417656015
"VAR",2,6,-0.597464219974196
"VAR",2,7,-0.556923068730031
"VAR",2,8,-0.746210513483051
"VAR",2,9,-0.85251974789019
"VAR",3,0,0
"VAR",3,1,-1.05577942449121
"VAR",3,2,-1.17471208120015
"VAR",3,3,-1.1710978389793
"VAR",3,4,-0.788940987584865
"VAR",3,5,-0.359808216008556
"VAR",3,6,-0.209226018363998
"VAR",3,7,-0.188218745814772
"VAR",3,8,-0.124836048420306
"VAR",3,9,-0.350733620734918
"VAR",4,0,0
"VAR",4,1,-0.26776552113745
"VAR",4,2,-0.0808288254313786
"VAR",4,3,0.154508616896886
"VAR",4,4,0.207410803904883
"VAR",4,5,-0.0322390187343496
"VAR",4,6,-0.234950181897792
"VAR",4,7,-0.466115024151025
"VAR",4,8,-0.239647947476159
"VAR",4,9,0.031911755026906
"VAR",5,0,0
"VAR",5,1,0.455391345333925
"VAR",5,2,0.906570439678421
"VAR",5,3,1.0462833857867
"VAR",5,4,0.829630775312586
"VAR",5,5,0.327524755767457
"VAR",5,6,-0.0853578714496608
"VAR",5,7,-0.464337658060872
"VAR",5,8,-0.226831309347521
"VAR",5,9,0.325782698172561
"VAR",6,0,0
"VAR",6,1,0.75111932461897
"VAR",6,2,1.24885534440984
"VAR",6,3,1.40942208944648
"VAR",6,4,1.24150187919307
"VAR",6,5,0.865935553425725
"VAR",6,6,0.651139001427243
"VAR",6,7,0.471649322647343
"VAR",6,8,0.823970688827866
"VAR",6,9,1.3696256398758
"VAR",7,0,0
"VAR",7,1,0.620069542765451
"VAR",7,2,0.74028074215774
"VAR",7,3,0.880143383229567
"VAR",7,4,1.20345054295675
"VAR",7,5,1.47784287464402
"VAR",7,6,1.8220377306843
"VAR",7,7,2.12299916987255
"VAR",7,8,2.64764909744007
"VAR",7,9,2.79136803855567
"VAR",8,0,0
"VAR",8,1,0.731655226484893
"VAR",8,2,0.659262780513007
"VAR",8,3,0.999516682517441
"VAR",8,4,1.33556286356862
"VAR",8,5,2.2419452787387
"VAR",8,6,3.15669375311687
"VAR",8,7,3.90544751931583
